party,46,47,48,49,50,51
-,0.0,0.0,0.0,1.0,1.0,1.0
CSPO,0.0,0.0,1.0,1.0,0.0,0.0
M-E,15.0,15.0,14.62,13.0,14.12,13.47
PLR,18.0,13.94,11.94,10.94,12.81,12.0
PSS,6.0,9.0,8.63,10.93,12.0,8.3
PVL,0.0,0.0,1.38,2.0,0.0,0.0
UDC,6.81,8.0,6.12,4.93,5.0,6.06
VERT,0.0,0.0,2.0,2.0,1.0,5.0
