"PersonNumber","FirstName","LastName","GenderAsString","CantonAbbreviation","CouncilAbbreviation","PartyAbbreviation","DateJoining","DateLeaving"
2083,"Friedrich A.","Frey-Hérosé","m","AG","CF","Lib*","1848-11-16T00:00:00","1866-12-31T00:00:00"
1453,"Peter","Balmer","m","BE","CN","PRD","1928-03-03T00:00:00","1935-12-01T00:00:00"
3154,"Wilhelm","Schindler","m","LU","CN","Lib*","1863-12-07T00:00:00","1865-01-01T00:00:00"
211,"Vreni","Spoerry","f","ZH","CN","PRD","1983-11-28T00:00:00","1995-12-03T00:00:00"
3663,"Paul Ch.","Wulliémoz","m","VD","CN","PRD","1871-07-03T00:00:00","1883-03-01T00:00:00"
3654,"Daniel","Wirth","m","SG","CN","PRD","1869-12-06T00:00:00","1878-12-01T00:00:00"
3654,"Daniel","Wirth","m","SG","CN","PRD","1869-12-06T00:00:00","1878-12-01T00:00:00"
3654,"Daniel","Wirth","m","SG","CN","PRD","1869-12-06T00:00:00","1878-12-01T00:00:00"
2845,"Ulrich J.","Ochsenbein","m","BE","CN","PRD","1848-11-06T00:00:00","1848-11-16T00:00:00"
2845,"Ulrich J.","Ochsenbein","m","BE","CN","PRD","1848-11-06T00:00:00","1848-11-16T00:00:00"
2622,"Georges","Luterbacher","m","BE","CN","PAB","1951-12-03T00:00:00","1955-12-04T00:00:00"
1116,"Didier","Burkhalter","m","NE","CE","PRD","2007-12-03T00:00:00","2009-10-31T00:00:00"
2559,"Auguste","Lambelet","m","NE","CE","PRD","1855-07-02T00:00:00","1856-06-01T00:00:00"
134,"Moritz","Leuenberger","m","ZH","CF","PSS","2002-01-01T00:00:00","2004-12-31T00:00:00"
1155,"Therese","Frösch","f","BE","CN","GB","2007-12-03T00:00:00","2011-12-04T00:00:00"
1155,"Therese","Frösch","f","BE","CN","GB","2007-12-03T00:00:00","2011-12-04T00:00:00"
3491,"Jacques-François","Viquerat","m","VD","CN","PRD","1883-06-18T00:00:00","1896-12-06T00:00:00"
1934,"Jakob","Dubs","m","VD","CN","Lib*","1872-12-02T00:00:00","1875-12-05T00:00:00"
3398,"John","Syz","m","ZH","CN","PRD","1917-06-04T00:00:00","1919-11-01T00:00:00"
1464,"Carlo","Battaglini","m","TI","CN","PRD","1862-07-07T00:00:00","1875-10-01T00:00:00"
14,"Duri","Bezzola","m","GR","CN","PRD","2003-12-01T00:00:00","2007-03-04T00:00:00"
1999,"Rudolf","Etter","m","BE","CN","PAB","1955-12-05T00:00:00","1979-11-25T00:00:00"
1999,"Rudolf","Etter","m","BE","CN","PAB","1955-12-05T00:00:00","1979-11-25T00:00:00"
1999,"Rudolf","Etter","m","BE","CN","PAB","1955-12-05T00:00:00","1979-11-25T00:00:00"
2048,"Ernst","Flückiger","m","SO","CN","PRD","1947-03-11T00:00:00","1947-11-30T00:00:00"
1643,"François","Briatte","m","VD","CE","PRD","1864-07-04T00:00:00","1867-05-01T00:00:00"
2958,"Joh. Heinrich","Plattner","m","BL","CN","PRD","1849-11-12T00:00:00","1851-11-30T00:00:00"
2842,"Johann","Nyffeler","m","BE","CN","PAB","1922-12-04T00:00:00","1928-12-02T00:00:00"
405,"Jacqueline","Fehr","f","ZH","CN","PSS","1998-04-27T00:00:00","2003-11-30T00:00:00"
2971,"Alois","Räber","m","LU","CN","Cons*","1876-12-04T00:00:00","1881-12-04T00:00:00"
3891,"Daniel","Jositsch","m","ZH","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
751,"Bernard","Meizoz","m","VD","CN","PSS","1971-11-29T00:00:00","1991-11-24T00:00:00"
464,"Hans-Jürg","Fehr","m","SH","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
593,"Valentin","Oehen","m","BE","CN","N","1971-11-29T00:00:00","1987-11-29T00:00:00"
593,"Valentin","Oehen","m","BE","CN","N","1971-11-29T00:00:00","1987-11-29T00:00:00"
593,"Valentin","Oehen","m","BE","CN","N","1971-11-29T00:00:00","1987-11-29T00:00:00"
593,"Valentin","Oehen","m","BE","CN","N","1971-11-29T00:00:00","1987-11-29T00:00:00"
3147,"Karl","Scheurer","m","BE","CN","PRD","1911-12-04T00:00:00","1919-11-01T00:00:00"
3026,"Joseph","Rion","m","VS","CE","PRD","1855-07-02T00:00:00","1856-07-01T00:00:00"
1526,"Andreas","Bezzola","m","GR","CE","PRD","1880-06-07T00:00:00","1881-06-01T00:00:00"
2166,"Walter","Gloor","m","AG","CN","PSS","1958-12-01T00:00:00","1967-12-03T00:00:00"
2666,"Louis","Mayor","m","VD","CN","PRD","1881-06-06T00:00:00","1887-12-04T00:00:00"
2249,"Johann Jakob","Häberlin","m","TG","CN","Lib*","1869-12-06T00:00:00","1872-12-01T00:00:00"
2376,"Aimé","Humbert-Droz","m","NE","CE","PRD","1860-12-03T00:00:00","1862-07-01T00:00:00"
1769,"Jean-Jacques","Challet-Venel","m","GE","CF","PRD","1864-07-12T00:00:00","1872-12-31T00:00:00"
2573,"Alois","Latour","m","GR","CN","Lib*","1863-12-07T00:00:00","1869-12-05T00:00:00"
2620,"Josef","Lusser","m","UR","CN","PRD","1925-12-07T00:00:00","1931-12-06T00:00:00"
470,"Walter","Glur","m","AG","CN","UDC","1999-12-06T00:00:00","2003-11-30T00:00:00"
500,"Theophil","Pfister","m","SG","CN","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3923,"Ada","Marra","f","VD","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
3412,"Adrien F.-H.","Thélin","m","VD","CN","PRD","1883-06-18T00:00:00","1900-03-01T00:00:00"
3412,"Adrien F.-H.","Thélin","m","VD","CN","PRD","1883-06-18T00:00:00","1900-03-01T00:00:00"
3412,"Adrien F.-H.","Thélin","m","VD","CN","PRD","1883-06-18T00:00:00","1900-03-01T00:00:00"
3633,"Bernhard","Widmer","m","ZH","CN","Cons*","1928-12-03T00:00:00","1947-11-30T00:00:00"
2799,"Johannes","Müller","m","SG","CN","Cons*","1935-06-03T00:00:00","1937-05-31T00:00:00"
1219,"Hans Rudolf","Meyer","m","LU","CN","PRD","1962-06-12T00:00:00","1979-11-25T00:00:00"
3403,"Karl Rudolf","Tanner","m","AG","CN","PRD","1848-11-06T00:00:00","1849-07-08T00:00:00"
1693,"Michael","Bühler","m","BE","CN","PRD","1911-12-04T00:00:00","1917-12-02T00:00:00"
2960,"Giovanni","Polar","m","TI","CN","Cons*","1866-12-03T00:00:00","1868-01-26T00:00:00"
3230,"Benjamin","Schwar","m","VD","CN","PAB","1935-12-02T00:00:00","1943-05-12T00:00:00"
2470,"Johann Joseph","Keel","m","SG","CN","Cons*","1875-12-06T00:00:00","1902-08-12T00:00:00"
2470,"Johann Joseph","Keel","m","SG","CN","Cons*","1875-12-06T00:00:00","1902-08-12T00:00:00"
2470,"Johann Joseph","Keel","m","SG","CN","Cons*","1875-12-06T00:00:00","1902-08-12T00:00:00"
1625,"Walter","Bräm","m","ZH","CN","N","1971-11-29T00:00:00","1975-11-30T00:00:00"
2050,"Augusto","Fogliardi","m","TI","CN","PRD","1863-01-12T00:00:00","1863-10-01T00:00:00"
3348,"B.-Marius","Stoessel","m","GE","CN","PRD","1919-12-01T00:00:00","1922-12-03T00:00:00"
3119,"Gustav","Schaller","m","LU","CN","PRD","1917-06-04T00:00:00","1919-11-01T00:00:00"
2386,"Konrad","Ilg","m","BE","CN","PSS","1922-01-23T00:00:00","1947-11-30T00:00:00"
2238,"Stephan","Gutzwiller","m","BL","CN","PRD","1851-12-01T00:00:00","1872-12-01T00:00:00"
1371,"Arnold Otto","Aepli","m","SG","CE","Lib*","1851-12-01T00:00:00","1852-12-01T00:00:00"
2172,"Albert","Gobat","m","BE","CE","PRD","1884-03-10T00:00:00","1890-11-30T00:00:00"
2085,"Hans","Fricker","m","AG","CN","Cons*","1925-12-07T00:00:00","1933-03-01T00:00:00"
3484,"Jos. Wilhelm V.","Vigier","m","SO","CE","PRD","1856-07-07T00:00:00","1886-03-18T00:00:00"
3484,"Jos. Wilhelm V.","Vigier","m","SO","CE","PRD","1856-07-07T00:00:00","1886-03-18T00:00:00"
3484,"Jos. Wilhelm V.","Vigier","m","SO","CE","PRD","1856-07-07T00:00:00","1886-03-18T00:00:00"
2295,"Johann Heinrich","Heim","m","AR","CN","SdB (AR)*","1848-11-06T00:00:00","1851-11-30T00:00:00"
2281,"Walter","Hauser","m","ZH","CE","Dém*","1879-12-01T00:00:00","1888-12-01T00:00:00"
2281,"Walter","Hauser","m","ZH","CE","Dém*","1879-12-01T00:00:00","1888-12-01T00:00:00"
2281,"Walter","Hauser","m","ZH","CE","Dém*","1879-12-01T00:00:00","1888-12-01T00:00:00"
2457,"Niklaus","Kaiser","m","BE","CN","PRD","1864-09-20T00:00:00","1884-11-30T00:00:00"
1644,"Georges","Bridel","m","VD","CN","PLS","1947-12-01T00:00:00","1951-12-02T00:00:00"
706,"Odilo","Guntern","m","VS","CE","PDC","1975-12-01T00:00:00","1983-11-27T00:00:00"
40,"Elisabeth","Caspar-Hutter","f","SG","CN","PSS","1991-11-25T00:00:00","1995-12-03T00:00:00"
428,"Adolf","Ogi","m","BE","CF","UDC","1995-11-01T00:00:00","2000-12-31T00:00:00"
3722,"Franz Karl","Zust","m","LU","CE","Cons*","1943-12-06T00:00:00","1955-12-04T00:00:00"
1884,"Louis","de Wuilleret","m","FR","CN","Cons*","1854-01-09T00:00:00","1898-02-23T00:00:00"
1662,"Anton","Bruggisser","m","AG","CN","Lib*","1881-12-05T00:00:00","1884-11-30T00:00:00"
3571,"Robert","Wagner","m","BE","CN","PSS","1928-12-03T00:00:00","1931-12-06T00:00:00"
3202,"Oskar","Schnyder","m","VS","CN","Cons*","1943-12-06T00:00:00","1948-12-01T00:00:00"
1803,"Joseph Anton","Clemenz","m","VS","CN","Cons*","1848-11-06T00:00:00","1851-11-30T00:00:00"
574,"Karl","Flubacher","m","BL","CN","PRD","1967-12-04T00:00:00","1987-11-29T00:00:00"
587,"Werner","Martignoni","m","BE","CN","UDC","1979-11-26T00:00:00","1987-11-29T00:00:00"
3373,"Max","Studer","m","SO","CN","PRD","1908-12-07T00:00:00","1917-12-02T00:00:00"
528,"Peter","Briner","m","SH","CE","PRD","2003-12-01T00:00:00","2007-12-02T00:00:00"
3385,"Johann Jakob","Sulzer","m","ZH","CN","Dém*","1866-12-03T00:00:00","1869-12-05T00:00:00"
408,"This","Jenny","m","GL","CE","UDC","1998-06-08T00:00:00","2003-11-30T00:00:00"
3546,"Johann Andreas","von Sprecher","m","GR","CE","Lib*","1860-12-03T00:00:00","1861-06-01T00:00:00"
2238,"Stephan","Gutzwiller","m","BL","CE","PRD","1848-11-06T00:00:00","1851-11-30T00:00:00"
1154,"Pierre","Kohler","m","JU","CN","PDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
2319,"Urs V. A.","Heutschi","m","SO","CN","PRD","1885-03-09T00:00:00","1886-02-01T00:00:00"
3445,"Bendicht","Tschannen","m","BE","CN","PRD","1881-12-05T00:00:00","1884-11-30T00:00:00"
312,"Rose-Marie","Ducrot","f","FR","CN","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00"
305,"Didier","Berberat","m","NE","CE","PSS","2009-09-21T00:00:00","2011-12-04T00:00:00"
3599,"Johann","Weber","m","BE","CN","Dém->Rad","1860-12-03T00:00:00","1868-12-01T00:00:00"
3544,"Philipp Anton","von Segesser","m","LU","CN","Cons*","1848-11-06T00:00:00","1888-06-30T00:00:00"
1614,"Norbert","Bosset","m","VD","CE","PRD","1928-12-03T00:00:00","1947-11-30T00:00:00"
1614,"Norbert","Bosset","m","VD","CE","PRD","1928-12-03T00:00:00","1947-11-30T00:00:00"
1614,"Norbert","Bosset","m","VD","CE","PRD","1928-12-03T00:00:00","1947-11-30T00:00:00"
3013,"M.-Eugène","Richard","m","GE","CN","PLS","1890-12-01T00:00:00","1893-12-03T00:00:00"
1841,"J.-S.-Edouard","Dapples","m","VD","CN","Lib*","1857-12-07T00:00:00","1866-12-02T00:00:00"
1841,"J.-S.-Edouard","Dapples","m","VD","CN","Lib*","1857-12-07T00:00:00","1866-12-02T00:00:00"
1841,"J.-S.-Edouard","Dapples","m","VD","CN","Lib*","1857-12-07T00:00:00","1866-12-02T00:00:00"
2193,"Eugène","Grand","m","FR","CN","Cons*","1902-12-01T00:00:00","1928-12-02T00:00:00"
653,"Gilbert","Baechtold","m","VD","CN","PSS","1967-02-27T00:00:00","1983-06-09T00:00:00"
2545,"Arnold","Künzli","m","AG","CN","Dém*","1869-12-06T00:00:00","1908-11-09T00:00:00"
2545,"Arnold","Künzli","m","AG","CN","Dém*","1869-12-06T00:00:00","1908-11-09T00:00:00"
2545,"Arnold","Künzli","m","AG","CN","Dém*","1869-12-06T00:00:00","1908-11-09T00:00:00"
3064,"Fridolin","Roth","m","SO","CN","Cons*","1888-04-01T00:00:00","1890-11-30T00:00:00"
3290,"Georg","Sprecher","m","GR","CN","Dém*","1942-03-17T00:00:00","1959-12-06T00:00:00"
1448,"Walter","Ballmoos","m","TG","CN","PAB","1967-12-04T00:00:00","1971-11-28T00:00:00"
3137,"Victor Emil","Scherer","m","BS","CN","PRD","1929-10-01T00:00:00","1941-02-13T00:00:00"
358,"Doris","Stump","f","AG","CN","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00"
3251,"Johann","Sessler","m","BE","CE","PRD","1865-07-03T00:00:00","1868-11-01T00:00:00"
3180,"Jakob","Schmidheiny","m","SG","CN","PRD","1934-03-26T00:00:00","1935-12-01T00:00:00"
1294,"Lieni","Füglistaller","m","AG","CN","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3014,"Josef","Riedener","m","SG","CN","Cons*","1939-12-04T00:00:00","1947-11-30T00:00:00"
2819,"Jean-Martin","Naef","m","GE","CE","UDE","1928-12-03T00:00:00","1931-12-06T00:00:00"
3658,"Robert","Wirz","m","ZH","CN","PSS","1922-12-04T00:00:00","1930-06-06T00:00:00"
703,"Willy","Donzé","m","GE","CE","PSS","1975-12-01T00:00:00","1983-11-27T00:00:00"
3354,"Johannes","Stössel","m","ZH","CE","PRD","1891-12-07T00:00:00","1905-12-03T00:00:00"
1849,"Victor","de Chastonay","m","VS","CN","Cons*","1875-12-06T00:00:00","1892-11-05T00:00:00"
809,"Christine","Wirz-von Planta","f","BS","CN","PLS","2001-09-17T00:00:00","2003-11-30T00:00:00"
12,"Christine","Beerli","f","BE","CE","PRD","1995-12-04T00:00:00","2003-11-30T00:00:00"
12,"Christine","Beerli","f","BE","CE","PRD","1995-12-04T00:00:00","2003-11-30T00:00:00"
1905,"Raymond","Deonna","m","GE","CN","PLS","1949-09-19T00:00:00","1951-12-02T00:00:00"
2031,"Markus","Feldmann","m","BE","CN","PAB","1947-12-01T00:00:00","1951-12-13T00:00:00"
39,"Werner","Carobbio","m","TI","CN","PST","1975-12-01T00:00:00","1999-12-05T00:00:00"
39,"Werner","Carobbio","m","TI","CN","PST","1975-12-01T00:00:00","1999-12-05T00:00:00"
39,"Werner","Carobbio","m","TI","CN","PST","1975-12-01T00:00:00","1999-12-05T00:00:00"
2171,"Rudolf","Gnägi","m","BE","CF","PAB","1971-01-01T00:00:00","1971-12-31T00:00:00"
368,"Rosmarie","Zapfl","f","ZH","CN","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00"
3475,"Moïse","Vautier","m","GE","CE","PRD","1880-11-29T00:00:00","1881-09-01T00:00:00"
3627,"J.-M.-Albert","Wessel","m","GE","CN","PLS","1866-12-03T00:00:00","1869-12-05T00:00:00"
478,"Rudolf","Joder","m","BE","CN","UDC","1999-12-06T00:00:00","2003-11-30T00:00:00"
519,"Hansjörg","Walter","m","TG","CN","UDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
1805,"Alfred","Clottu","m","NE","CN","PLS","1931-12-01T00:00:00","1933-09-21T00:00:00"
305,"Didier","Berberat","m","NE","CN","PSS","2003-12-01T00:00:00","2007-12-02T00:00:00"
309,"Franco","Cavalli","m","TI","CN","PSS","2003-12-01T00:00:00","2007-06-03T00:00:00"
1151,"Josy","Gyr-Steiner","f","SZ","CN","PSS","2003-12-01T00:00:00","2007-04-18T00:00:00"
3387,"Adolf","Suter","m","SZ","CE","Cons*","1928-06-04T00:00:00","1947-01-06T00:00:00"
3387,"Adolf","Suter","m","SZ","CE","Cons*","1928-06-04T00:00:00","1947-01-06T00:00:00"
3387,"Adolf","Suter","m","SZ","CE","Cons*","1928-06-04T00:00:00","1947-01-06T00:00:00"
1897,"J.-Louis-Henri","Delarageaz","m","VD","CN","PRD","1857-12-07T00:00:00","1881-12-04T00:00:00"
650,"Claudius","Alder","m","BL","CN","AdI","1971-11-29T00:00:00","1983-11-27T00:00:00"
3533,"Peter Conradin","von Planta","m","GR","CE","PRD","1852-07-05T00:00:00","1852-12-01T00:00:00"
1147,"Margret","Kiener Nellen","f","BE","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
3063,"August","Roth","m","TG","CN","PSS","1928-12-03T00:00:00","1931-12-06T00:00:00"
1589,"J.-F.-Louis","Bonjour","m","VD","CE","PRD","1873-07-07T00:00:00","1875-06-20T00:00:00"
3157,"Hans Ulrich","Schlaepfer","m","ZH","CN","PRD","1946-06-04T00:00:00","1947-11-30T00:00:00"
450,"Elvira","Bader","f","SO","CN","PDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
2122,"Victor","Gautier","m","GE","CE","PLS","1955-12-05T00:00:00","1963-12-01T00:00:00"
2811,"Hieronymus","Murbach","m","SH","CE","Lib*","1859-07-04T00:00:00","1865-06-01T00:00:00"
1401,"Johann-Rudolf","Amsler","m","ZH","CN","Dém*","1899-12-04T00:00:00","1917-10-30T00:00:00"
705,"Luigi","Generali","m","TI","CN","Lib*","1971-11-29T00:00:00","1979-11-25T00:00:00"
3594,"Hans","Weber","m","AG","CN","Lib*","1872-12-02T00:00:00","1875-12-05T00:00:00"
2522,"Karl Gustav","König","m","BE","CE","?","1867-03-01T00:00:00","1868-11-01T00:00:00"
1127,"Oskar","Freysinger","m","VS","CN","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
3372,"Heinrich","Studer","m","ZH","CN","Lib*","1872-12-02T00:00:00","1878-12-01T00:00:00"
2488,"Armin J. J","Kellersberger","m","AG","CE","PRD","1881-12-05T00:00:00","1905-07-28T00:00:00"
2488,"Armin J. J","Kellersberger","m","AG","CE","PRD","1881-12-05T00:00:00","1905-07-28T00:00:00"
2488,"Armin J. J","Kellersberger","m","AG","CE","PRD","1881-12-05T00:00:00","1905-07-28T00:00:00"
691,"Eduard","Rothen","m","SO","CN","PSS","1971-11-29T00:00:00","1983-11-27T00:00:00"
1174,"Pierre","Aubert","m","NE","CF","PSS","1983-01-01T00:00:00","1983-12-31T00:00:00"
1681,"Rudolf","Bucher","m","ZH","CN","AdI","1947-12-01T00:00:00","1950-12-01T00:00:00"
3232,"Samuel D.","Schwarz","m","AG","CN","Lib*","1866-12-03T00:00:00","1868-03-11T00:00:00"
3520,"D. L. August","von Gonzenbach","m","BE","CN","ConsR*","1866-04-01T00:00:00","1875-12-05T00:00:00"
3518,"Alfred","von der Weid","m","FR","CN","Cons*","1854-12-04T00:00:00","1872-12-01T00:00:00"
4032,"Beat","Jans","m","BS","CN","PSS","2010-05-31T00:00:00","2011-12-04T00:00:00"
1862,"Auguste","de Loës","m","VD","CN","Lib*","1851-12-01T00:00:00","1854-12-03T00:00:00"
1200,"Kurt","Furgler","m","SG","CF",,"1977-01-01T00:00:00","1977-12-31T00:00:00"
666,"Fritz","Ganz","m","ZH","CN","PSS","1971-11-29T00:00:00","1983-11-27T00:00:00"
758,"Monique","Paccolat","m","VS","CN","PDC","1987-11-30T00:00:00","1991-11-24T00:00:00"
3029,"Johannes","Ritschard","m","BE","CN","PRD","1903-02-01T00:00:00","1908-10-26T00:00:00"
3156,"L. August","Schirmer","m","SG","CN","PRD","1919-12-01T00:00:00","1941-11-29T00:00:00"
497,"Patrice","Mugny","m","GE","CN","PES","1999-12-06T00:00:00","2003-06-02T00:00:00"
1535,"Paul","Billieux","m","BE","CN","PRD","1934-03-13T00:00:00","1943-12-05T00:00:00"
3116,"Gustav Adolf","Saxer","m","SG","CN","PRD","1872-12-02T00:00:00","1878-12-01T00:00:00"
1289,"Luc","Barthassat","m","GE","CN","PDC","2005-05-30T00:00:00","2007-12-02T00:00:00"
359,"Franziska","Teuscher","f","BE","CN","GB","2007-12-03T00:00:00","2011-12-04T00:00:00"
3628,"Ernst","Wetter","m","ZH","CF","PRD","1941-01-01T00:00:00","1941-12-31T00:00:00"
3877,"Doris","Fiala","f","ZH","CN","PRD","2007-12-03T00:00:00","2011-12-04T00:00:00"
2730,"Carl","Miville","m","BS","CN","PSS","1943-12-06T00:00:00","1951-12-02T00:00:00"
2730,"Carl","Miville","m","BS","CN","PSS","1943-12-06T00:00:00","1951-12-02T00:00:00"
2730,"Carl","Miville","m","BS","CN","PSS","1943-12-06T00:00:00","1951-12-02T00:00:00"
1234,"Willy","Sauser","m","ZH","CN","PEV","1956-03-19T00:00:00","1978-01-19T00:00:00"
3934,"Eveline","Widmer-Schlumpf","f","GR","CF","PBD","2010-11-01T00:00:00","2010-12-31T00:00:00"
74,"Christoph","Eymann","m","BS","CN","PLS","1991-11-25T00:00:00","1995-12-03T00:00:00"
784,"Yvette","Jaggi","f","VD","CN","PSS","1979-11-26T00:00:00","1987-11-29T00:00:00"
2811,"Hieronymus","Murbach","m","SH","CE","Lib*","1854-07-03T00:00:00","1857-06-01T00:00:00"
3167,"Franz","Schmid","m","UR","CE","Cons*","1882-06-05T00:00:00","1890-11-30T00:00:00"
2996,"Karl","Reichlin","m","SZ","CE","Cons*","1887-12-05T00:00:00","1905-12-03T00:00:00"
2996,"Karl","Reichlin","m","SZ","CE","Cons*","1887-12-05T00:00:00","1905-12-03T00:00:00"
2996,"Karl","Reichlin","m","SZ","CE","Cons*","1887-12-05T00:00:00","1905-12-03T00:00:00"
2079,"Emil Joh. Rud.","Frey","m","BL","CN","PRD","1890-12-01T00:00:00","1890-12-20T00:00:00"
2497,"Max","Kistler","m","LU","CN","PSS","1955-12-05T00:00:00","1959-12-06T00:00:00"
3037,"Paul","Robert","m","NE","CE","PLS","1913-06-02T00:00:00","1916-06-01T00:00:00"
2399,"Klemens","Iten","m","ZG","CN","PRD","1896-12-07T00:00:00","1911-12-03T00:00:00"
2399,"Klemens","Iten","m","ZG","CN","PRD","1896-12-07T00:00:00","1911-12-03T00:00:00"
2399,"Klemens","Iten","m","ZG","CN","PRD","1896-12-07T00:00:00","1911-12-03T00:00:00"
1931,"Daniel-Henri","Druey","m","VD","CF","PRD","1848-11-16T00:00:00","1855-03-29T00:00:00"
90,"Paul","Gemperli","m","SG","CE",,"1991-11-25T00:00:00","1999-12-05T00:00:00"
90,"Paul","Gemperli","m","SG","CE",,"1991-11-25T00:00:00","1999-12-05T00:00:00"
2220,"Alfred","Grütter","m","BE","CN","AdI","1953-06-01T00:00:00","1955-12-04T00:00:00"
3217,"Josef","Schuler","m","SZ","CN","BV (SZ)*","1943-12-06T00:00:00","1947-11-30T00:00:00"
1733,"Johann","Bützberger","m","BE","CN","PRD","1849-08-01T00:00:00","1886-02-02T00:00:00"
237,"William","Wyss","m","BE","CN","UDC","1992-11-30T00:00:00","1995-12-03T00:00:00"
4026,"Raphaël","Comte","m","NE","CE","PLR","2010-03-01T00:00:00","2011-12-04T00:00:00"
3008,"Olivier","Reverdin","m","GE","CN","PLS","1955-12-05T00:00:00","1971-11-28T00:00:00"
3326,"Jakob","Steiner","m","AG","CN","Dém*","1935-12-02T00:00:00","1939-12-03T00:00:00"
525,"Roberto","Zanetti","m","SO","CE","PSS","2010-03-01T00:00:00","2011-12-04T00:00:00"
2420,"Nicolas","Jaquet","m","BS","CN","PLS","1949-12-05T00:00:00","1959-12-06T00:00:00"
257,"Alain","Schweingruber","m","JU","CN","PRD","1993-12-06T00:00:00","1995-12-03T00:00:00"
3601,"Jost","Weber","m","LU","CE","Cons->Lib","1868-07-06T00:00:00","1870-12-01T00:00:00"
3153,"Kaspar","Schindler","m","GL","CN","Dém*","1884-12-01T00:00:00","1898-12-27T00:00:00"
3444,"Otto","Tschamper","m","AG","CN","PRD","1918-02-01T00:00:00","1919-11-01T00:00:00"
2961,"Giovanni","Polar","m","TI","CN","Cons*","1928-06-04T00:00:00","1931-12-06T00:00:00"
2390,"Peter Ludwig","In Albon","m","VS","CE","Cons*","1868-07-06T00:00:00","1871-06-01T00:00:00"
189,"Peter-Josef","Schallberger","m","NW","CE",,"1990-06-05T00:00:00","1999-12-05T00:00:00"
498,"Jacques","Neirynck","m","VD","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
2967,"Samuel","Presset","m","FR","CN","Cons*","1863-12-07T00:00:00","1866-12-11T00:00:00"
1413,"Ernst","Anliker","m","BE","CN","JB","1935-12-02T00:00:00","1943-12-05T00:00:00"
1413,"Ernst","Anliker","m","BE","CN","JB","1935-12-02T00:00:00","1943-12-05T00:00:00"
3656,"Franz","Wirz","m","OW","CN","Cons*","1848-11-06T00:00:00","1866-12-02T00:00:00"
3499,"Fr. Salomon","Vögelin","m","ZH","CN","Dém*","1875-12-06T00:00:00","1888-10-17T00:00:00"
2109,"Antonio","Galli","m","TI","CN","PRD","1926-02-08T00:00:00","1926-09-01T00:00:00"
586,"Armand","Magnin","m","GE","CN","PdT","1981-03-02T00:00:00","1987-11-29T00:00:00"
2424,"Alfred","Jeanhenry","m","NE","CN","PRD","1888-06-04T00:00:00","1902-05-20T00:00:00"
469,"Jean-Paul","Glasson","m","FR","CN","PRD","2003-12-01T00:00:00","2007-12-02T00:00:00"
1556,"Eduard Eugen","Blösch","m","BE","CN","ConsR*","1851-12-01T00:00:00","1866-02-07T00:00:00"
1556,"Eduard Eugen","Blösch","m","BE","CN","ConsR*","1851-12-01T00:00:00","1866-02-07T00:00:00"
1556,"Eduard Eugen","Blösch","m","BE","CN","ConsR*","1851-12-01T00:00:00","1866-02-07T00:00:00"
455,"Maurice","Chevrier","m","VS","CN","PDC","2007-12-03T00:00:00","2010-02-28T00:00:00"
396,"Christian","Waber","m","BE","CN","UDF","1999-12-06T00:00:00","2003-11-30T00:00:00"
2028,"Karl Alfred","Fehr","m","TG","CN","PRD","1889-11-25T00:00:00","1904-11-10T00:00:00"
679,"Werner","Meier","m","BE","CN","PSS","1975-12-01T00:00:00","1983-11-27T00:00:00"
2679,"Ulrich sen.","Meister","m","ZH","CN","Lib*","1856-01-21T00:00:00","1866-12-02T00:00:00"
1959,"Josef Anton","Eberle","m","SZ","CN","Lib*","1866-12-03T00:00:00","1872-12-01T00:00:00"
698,"Otto","Stich","m","SO","CF","PSS","1988-01-01T00:00:00","1988-12-31T00:00:00"
2250,"K. Eduard","Häberlin","m","TG","CN","Lib*","1851-08-01T00:00:00","1857-12-06T00:00:00"
2384,"Hans","Hürlimann","m","ZG","CE","CCS","1967-02-27T00:00:00","1973-12-05T00:00:00"
1345,"Thomas","Müller","m","SG","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
1345,"Thomas","Müller","m","SG","CN","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00"
1652,"Jos. Alois","Broger","m","AI","CN","Cons*","1865-07-03T00:00:00","1879-11-17T00:00:00"
1394,"Antoine-Joseph","Amacker","m","VS","CE",,"1857-06-09T00:00:00","1859-05-01T00:00:00"
195,"Carlo","Schmid-Sutter","m","AI","CE","PDC","2003-12-01T00:00:00","2007-06-03T00:00:00"
2114,"Evaristo","Garbani","m","TI","CN","PRD","1909-12-06T00:00:00","1922-06-22T00:00:00"
