"PersonNumber","FirstName","LastName","GenderAsString","CantonAbbreviation","CouncilAbbreviation","PartyAbbreviation","DateJoining","DateLeaving"
3312,"Pius","Stebler","m","SO","CN","CCS","1959-12-07T00:00:00","1967-12-03T00:00:00"
271,"Verena","Singeisen","f","BE","CN","LL","1994-12-12T00:00:00","1995-12-03T00:00:00"
2362,"Harald","Huber","m","SG","CN","PSS","1947-12-01T00:00:00","1962-12-13T00:00:00"
3533,"Peter Conradin","von Planta","m","GR","CE","PRD","1864-07-04T00:00:00","1872-06-01T00:00:00"
193,"Rémy","Scheurer","m","NE","CN","PLS","1991-11-25T00:00:00","1995-12-03T00:00:00"
276,"Christoffel","Brändli","m","GR","CE","UDC","1995-01-23T00:00:00","2003-11-30T00:00:00"
3087,"Laurent","Ruffieux","m","FR","CN","PAB","1943-04-06T00:00:00","1943-12-05T00:00:00"
1726,"Henry","Burrus","m","BE","CN","Cons*","1939-12-04T00:00:00","1947-11-30T00:00:00"
3405,"Angelo","Tarchini","m","TI","CN","Cons*","1925-12-07T00:00:00","1927-03-01T00:00:00"
3121,"Johann Jakob","Schär","m","BE","CN","PRD","1902-12-01T00:00:00","1919-11-01T00:00:00"
701,"Jean","Wilhelm","m","BE","CN","CCS","1959-12-07T00:00:00","1979-11-30T00:00:00"
2727,"Hans","Ming","m","OW","CN","Cons*","1951-12-03T00:00:00","1963-12-01T00:00:00"
41,"Jean","Cavadini","m","NE","CN",,"1979-11-26T00:00:00","1987-11-29T00:00:00"
43,"Luregn Mathias","Cavelty","m","GR","CE","PDC","1979-06-20T00:00:00","1994-12-16T00:00:00"
2376,"Aimé","Humbert-Droz","m","NE","CE","PRD","1854-07-03T00:00:00","1856-06-01T00:00:00"
2376,"Aimé","Humbert-Droz","m","NE","CE","PRD","1854-07-03T00:00:00","1856-06-01T00:00:00"
2376,"Aimé","Humbert-Droz","m","NE","CE","PRD","1854-07-03T00:00:00","1856-06-01T00:00:00"
2981,"F.-Alexandre","Ramu","m","GE","CN","PLS","1893-12-04T00:00:00","1896-12-06T00:00:00"
2139,"Alfred P. W.","Georg","m","GE","CN","PLS","1907-06-03T00:00:00","1911-12-03T00:00:00"
2415,"Ch.-Henri-F-","Jan","m","VD","CN","Lib*","1860-12-03T00:00:00","1863-12-06T00:00:00"
635,"Ernst","Steiner","m","SH","CE","UDC","1979-11-26T00:00:00","1987-11-29T00:00:00"
2871,"A.-Isaac","Oyex","m","VD","CN","PRD","1917-06-04T00:00:00","1917-10-01T00:00:00"
3189,"Friedrich Oskar","Schneeberger","m","BE","CN","PSS","1917-12-03T00:00:00","1931-12-06T00:00:00"
2644,"Romeo","Manzoni","m","TI","CN","PRD","1905-12-04T00:00:00","1912-11-23T00:00:00"
3549,"K. Fr. Edmund","von Steiger","m","BE","CN","VKons(BE)*","1888-04-01T00:00:00","1890-11-30T00:00:00"
2817,"Jean-Marie","Musy","m","FR","CF","Cons*","1925-01-01T00:00:00","1925-12-31T00:00:00"
2547,"Franz-Josef","Kurmann","m","LU","CN","Cons*","1955-12-05T00:00:00","1971-11-28T00:00:00"
2547,"Franz-Josef","Kurmann","m","LU","CN","Cons*","1955-12-05T00:00:00","1971-11-28T00:00:00"
2547,"Franz-Josef","Kurmann","m","LU","CN","Cons*","1955-12-05T00:00:00","1971-11-28T00:00:00"
2004,"Raymond","Evéquoz","m","VS","CN","Cons*","1902-12-01T00:00:00","1928-12-02T00:00:00"
2004,"Raymond","Evéquoz","m","VS","CN","Cons*","1902-12-01T00:00:00","1928-12-02T00:00:00"
2004,"Raymond","Evéquoz","m","VS","CN","Cons*","1902-12-01T00:00:00","1928-12-02T00:00:00"
3130,"Karl","Schenk","m","BE","CF","PRD","1893-01-01T00:00:00","1893-12-31T00:00:00"
2961,"Giovanni","Polar","m","TI","CN","Cons*","1933-03-28T00:00:00","1935-12-01T00:00:00"
250,"Jean-Michel","Gros","m","GE","CN","PLS","1995-12-04T00:00:00","1999-12-05T00:00:00"
3162,"Andreas","Schmid","m","BE","CN","PRD","1881-02-14T00:00:00","1887-12-04T00:00:00"
84,"Walter","Frey","m","ZH","CN","UDC","1995-12-04T00:00:00","2001-11-25T00:00:00"
84,"Walter","Frey","m","ZH","CN","UDC","1995-12-04T00:00:00","2001-11-25T00:00:00"
3145,"Friedrich Erhard","Scheuchzer","m","ZH","CN","Dém*","1866-12-03T00:00:00","1895-02-13T00:00:00"
1740,"Jules Aug.","Calame","m","NE","CN","PLS","1895-07-01T00:00:00","1912-08-10T00:00:00"
2029,"Ernst","Feigenwinter","m","BS","CN","Cons*","1917-12-03T00:00:00","1919-09-15T00:00:00"
734,"Paul","Fäh","m","LU","CN","PRD","1987-11-30T00:00:00","1991-11-24T00:00:00"
2365,"Josef","Huber","m","UR","CE","Cons*","1868-07-06T00:00:00","1877-03-01T00:00:00"
2032,"Gottfried","Feller","m","BE","CN","PRD","1893-12-04T00:00:00","1896-12-06T00:00:00"
370,"Erika","Forster-Vannini","f","SG","CE","PRD","2007-12-03T00:00:00","2011-12-04T00:00:00"
598,"Pierre","Rime","m","FR","CN","PRD","1983-11-28T00:00:00","1987-11-29T00:00:00"
3378,"Rudolf","Stüssi","m","GL","CE","PRD","1946-06-03T00:00:00","1962-03-01T00:00:00"
2477,"Martin-Anton","Keiser","m","ZG","CE","Cons*","1850-11-04T00:00:00","1854-01-01T00:00:00"
2123,"P.-Alexandre","Gavard","m","GE","CE","PRD","1884-12-01T00:00:00","1890-11-30T00:00:00"
2123,"P.-Alexandre","Gavard","m","GE","CE","PRD","1884-12-01T00:00:00","1890-11-30T00:00:00"
2123,"P.-Alexandre","Gavard","m","GE","CE","PRD","1884-12-01T00:00:00","1890-11-30T00:00:00"
1930,"Numa","Droz","m","NE","CF","PRD","1875-12-18T00:00:00","1892-12-31T00:00:00"
1830,"Ulysse","Crisinel","m","VD","CN","PRD","1911-12-04T00:00:00","1913-06-01T00:00:00"
2082,"Theodor","Frey","m","ZH","CN","PRD","1905-12-04T00:00:00","1911-12-03T00:00:00"
429,"Kaspar","Villiger","m","LU","CF","PRD","2003-01-01T00:00:00","2003-12-10T00:00:00"
2767,"Giuseppe","Motta","m","TI","CF","Cons*","1932-01-01T00:00:00","1932-12-31T00:00:00"
2883,"Domenico","Pedrazzi","m","TI","CE","PRD","1853-07-04T00:00:00","1854-07-01T00:00:00"
2233,"Sevorino","Guscetti","m","TI","CN","PRD","1849-03-01T00:00:00","1851-10-01T00:00:00"
1267,"Hans","Stöckli","m","BE","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
332,"Rudolf","Imhof","m","BL","CN","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00"
3371,"Friedrich Hartmann","Studer","m","ZH","CN","Grut&PS*","1908-12-07T00:00:00","1920-06-01T00:00:00"
1750,"Louis","Cardinaux","m","FR","CE","Cons*","1898-06-06T00:00:00","1914-05-11T00:00:00"
3548,"Eduard","von Steiger","m","BE","CF","PAB","1945-01-01T00:00:00","1945-12-31T00:00:00"
1190,"Alphons","Egli","m","LU","CE","PDC","1975-12-01T00:00:00","1982-12-08T00:00:00"
2860,"Hermann","Oldani","m","BE","CN","PSS","1928-12-03T00:00:00","1934-11-01T00:00:00"
3449,"Josef","Tschopp","m","BL","CN","Cons*","1952-01-28T00:00:00","1975-11-30T00:00:00"
3669,"Fritz-Charles","Wüthrich","m","ZH","CN","AdI","1935-12-02T00:00:00","1939-12-03T00:00:00"
3386,"Johann","Surbeck","m","BL","CN","PSS","1924-09-29T00:00:00","1939-12-03T00:00:00"
479,"Hans","Kaufmann","m","ZH","CN","UDC","1999-12-06T00:00:00","2003-11-30T00:00:00"
213,"Judith","Stamm","f","LU","CN","PDC","1983-11-28T00:00:00","1995-12-03T00:00:00"
2587,"Auguste Alb.","Leuba","m","NE","CE","PRD","1880-11-29T00:00:00","1881-12-04T00:00:00"
2224,"Arnold","Gugelmann","m","BE","CN","PRD","1902-12-01T00:00:00","1917-12-02T00:00:00"
3588,"Jakob Hermann","Wartmann","m","SG","CE","Lib*","1885-12-07T00:00:00","1886-06-01T00:00:00"
2857,"Johann Konrad","Oertli","m","AR","CN","PRD","1853-07-04T00:00:00","1853-10-01T00:00:00"
229,"Peter","Vollmer","m","BE","CN","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00"
1435,"Ernst","Bachmann","m","AG","CN","PRD","1955-12-05T00:00:00","1961-12-01T00:00:00"
356,"Christian","Speck","m","AG","CN","UDC","2003-12-01T00:00:00","2005-05-05T00:00:00"
2542,"Gottfried","Kunz","m","BE","CE","PRD","1907-04-02T00:00:00","1919-11-01T00:00:00"
2542,"Gottfried","Kunz","m","BE","CE","PRD","1907-04-02T00:00:00","1919-11-01T00:00:00"
2542,"Gottfried","Kunz","m","BE","CE","PRD","1907-04-02T00:00:00","1919-11-01T00:00:00"
