,topic_idx,topic_score,manual_check,topic_words,transcript_words
2131,2,0.16,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['méthode', 'civil', 'code', 'surveillance', 'endroit', 'électroconvulsivothérapie', 'fond', 'thérapie', 'discipline', 'société']"
2223,4,0.049,0,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['charte', 'égalité', 'analyse', 'entreprise', 'résultat', 'transmission', 'évaluation', 'stratégie', 'donnée', 'enquête']"
2242,8,0.021,0,armée - guerre - service - matériel - arme - exportation - avion - civil - armement - défense,"['soin', 'engagement', 'service', 'hôpital', 'subsidiarité', 'renfort', 'demande', 'libellé', 'notion', 'santé']"
2281,6,0.203,1,crédit - budget - dépense - impôt - montant - augmentation - endettement - imposition - compte - crise,"['crédit', 'tranche', 'liquidité', 'remarque', 'industrie', 'difficulté', 'économie', 'stabilisation', 'machine', 'condition']"
2335,5,0.17,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['agriculture', 'production', 'suspension', 'oeuvre', 'rotation', 'exploitation', 'autoapprovisionnement', 'secteur', 'revenu', 'écologisation']"
2474,5,0.1,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['engrais', 'bureaucratie', 'recyclé', 'monstre', 'distributeur', 'aliment', 'livraison', 'agriculteur', 'fournisseur', 'animal']"
2532,18,0.531,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['expérimentation', 'recherche', 'animal', 'médicament', 'thérapie', 'pôle', 'innovation', 'autorisation', 'santé', 'motif']"
2746,1,0.064,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['stratégie', 'dison', 'portée', 'catégorie', 'appréciation', 'mot', 'ordre', 'texte', 'modification', 'sujet']"
2884,7,1,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['captage', 'eau', 'aire', 'consultation', 'pesticide', 'alimentation', 'contenu', 'motif', 'cartographie', 'roberto']"
3069,3,1,2,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['localité', 'contournement', 'agglomération', 'crédit', 'trafic', 'génération', 'enregistrent', 'cofinancement', 'municipalité', 'impact']"
